"","MatchNo","HomeTeam","AwayTeam","HG","AG","TG","GS.by.H","GC.by.H","GS.by.A","GC.by.A","ExpHG","ExpAG"
"43",313,"Tottenham","Crystal Palace",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.57142857142857,1.15384615384615,1.07692307692308,0.861163227016885,1.4570251177394
"44",314,"Arsenal","Everton",1.51851851851852,1.24444444444444,1.38148148148148,2.38461538461538,0.615384615384615,1,0.923076923076923,1.449559821042,0.494505494505495
"45",315,"Brentford","Everton",1.51851851851852,1.24444444444444,1.38148148148148,1.71428571428571,1.07142857142857,1,0.923076923076923,1.04207987134816,0.860969387755102
"46",316,"Crystal Palace","Everton",1.51851851851852,1.24444444444444,1.38148148148148,1,1.28571428571429,1,0.923076923076923,0.607879924953096,1.03316326530612
"47",317,"Newcastle","Everton",1.51851851851852,1.24444444444444,1.38148148148148,1.84615384615385,1.53846153846154,1,0.923076923076923,1.12223986145187,1.23626373626374
"48",318,"Tottenham","Everton",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.57142857142857,1,0.923076923076923,0.738139908871616,1.26275510204082
"49",319,"West Ham","Everton",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.92857142857143,1,0.923076923076923,0.738139908871616,1.54974489795918
"50",320,"Arsenal","Fulham",1.51851851851852,1.24444444444444,1.38148148148148,2.38461538461538,0.615384615384615,1.14285714285714,1.78571428571429,2.80420798713482,0.565149136577708
"51",321,"Brentford","Fulham",1.51851851851852,1.24444444444444,1.38148148148148,1.71428571428571,1.07142857142857,1.14285714285714,1.78571428571429,2.01592832254853,0.983965014577259
"52",322,"Liverpool","Fulham",1.51851851851852,1.24444444444444,1.38148148148148,1.61538461538462,1.07692307692308,1.14285714285714,1.78571428571429,1.89962476547842,0.989010989010989
"53",323,"Nott'm Forest","Fulham",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,1.35714285714286,1.14285714285714,1.78571428571429,1.09196117471379,1.2463556851312
"54",324,"Wolves","Fulham",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,2.14285714285714,1.14285714285714,1.78571428571429,1.09196117471379,1.96793002915452
"55",325,"Bournemouth","Leeds",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.07142857142857,2,2.02626641651032,0.927197802197802
"56",326,"Crystal Palace","Leeds",1.51851851851852,1.24444444444444,1.38148148148148,1,1.28571428571429,1.07142857142857,2,1.31707317073171,1.10696064139942
"57",327,"Man United","Leeds",1.51851851851852,1.24444444444444,1.38148148148148,1.92307692307692,1.15384615384615,1.07142857142857,2,2.5328330206379,0.993426216640502
"58",328,"Tottenham","Leeds",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.57142857142857,1.07142857142857,2,1.5993031358885,1.35295189504373
"59",329,"West Ham","Leeds",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.92857142857143,1.07142857142857,2,1.5993031358885,1.66044096209913
"60",330,"Aston Villa","Liverpool",1.51851851851852,1.24444444444444,1.38148148148148,1.42857142857143,0.785714285714286,1.5,1.5,1.41114982578397,0.947066326530612
"61",331,"Brighton","Liverpool",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.5,1.5,1.51969981238274,1.29807692307692
"62",332,"Everton","Liverpool",1.51851851851852,1.24444444444444,1.38148148148148,1.23076923076923,1.38461538461538,1.5,1.5,1.21575984990619,1.66895604395604
"63",333,"Man United","Liverpool",1.51851851851852,1.24444444444444,1.38148148148148,1.92307692307692,1.15384615384615,1.5,1.5,1.89962476547842,1.3907967032967
"64",334,"Wolves","Liverpool",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,2.14285714285714,1.5,1.5,0.917247386759582,2.58290816326531
"65",335,"Bournemouth","Man City",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.69230769230769,1.23076923076923,1.24693317939097,1.46449704142012
"66",336,"Burnley","Man City",1.51851851851852,1.24444444444444,1.38148148148148,0.923076923076923,1.46153846153846,1.69230769230769,1.23076923076923,0.748159907634579,1.98753169907016
"67",337,"Chelsea","Man City",1.51851851851852,1.24444444444444,1.38148148148148,1.64285714285714,1.14285714285714,1.69230769230769,1.23076923076923,1.33154650227821,1.5541601255887
"68",338,"Everton","Man City",1.51851851851852,1.24444444444444,1.38148148148148,1.23076923076923,1.38461538461538,1.69230769230769,1.23076923076923,0.997546543512772,1.88292476754015
"69",339,"Leeds","Man City",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.38461538461538,1.69230769230769,1.23076923076923,1.37162649733006,1.88292476754015
"70",340,"West Ham","Man City",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.92857142857143,1.69230769230769,1.23076923076923,0.984186545162155,2.62264521193093
"71",341,"Bournemouth","Man United",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.69230769230769,1.69230769230769,1.71453312166258,1.46449704142012
"72",342,"Brighton","Man United",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.69230769230769,1.69230769230769,1.71453312166258,1.46449704142012
"73",343,"Chelsea","Man United",1.51851851851852,1.24444444444444,1.38148148148148,1.64285714285714,1.14285714285714,1.69230769230769,1.69230769230769,1.83087644063254,1.5541601255887
"74",344,"Everton","Man United",1.51851851851852,1.24444444444444,1.38148148148148,1.23076923076923,1.38461538461538,1.69230769230769,1.69230769230769,1.37162649733006,1.88292476754015
"75",345,"Newcastle","Man United",1.51851851851852,1.24444444444444,1.38148148148148,1.84615384615385,1.53846153846154,1.69230769230769,1.69230769230769,2.05743974599509,2.09213863060017
"76",346,"Sunderland","Man United",1.51851851851852,1.24444444444444,1.38148148148148,1.57142857142857,0.928571428571429,1.69230769230769,1.69230769230769,1.75127311712678,1.26275510204082
"77",347,"Arsenal","Newcastle",1.51851851851852,1.24444444444444,1.38148148148148,2.38461538461538,0.615384615384615,1,1.35714285714286,2.13119807022246,0.494505494505495
"78",348,"Chelsea","Newcastle",1.51851851851852,1.24444444444444,1.38148148148148,1.64285714285714,1.14285714285714,1,1.35714285714286,1.46826779492285,0.918367346938776
"79",349,"Crystal Palace","Newcastle",1.51851851851852,1.24444444444444,1.38148148148148,1,1.28571428571429,1,1.35714285714286,0.893728222996516,1.03316326530612
"80",350,"Fulham","Newcastle",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.23076923076923,1,1.35714285714286,1.51246314660949,0.989010989010989
"81",351,"Nott'm Forest","Newcastle",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,1.35714285714286,1,1.35714285714286,0.829890492782479,1.0905612244898
"82",352,"Brighton","Nott'm Forest",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,0.923076923076923,1.53846153846154,1.55866647423871,0.798816568047337
"83",353,"Chelsea","Nott'm Forest",1.51851851851852,1.24444444444444,1.38148148148148,1.64285714285714,1.14285714285714,0.923076923076923,1.53846153846154,1.66443312784776,0.847723704866562
"84",354,"Man City","Nott'm Forest",1.51851851851852,1.24444444444444,1.38148148148148,2.42857142857143,0.642857142857143,0.923076923076923,1.53846153846154,2.46046636290539,0.476844583987441
"85",355,"Man United","Nott'm Forest",1.51851851851852,1.24444444444444,1.38148148148148,1.92307692307692,1.15384615384615,0.923076923076923,1.53846153846154,1.94833309279838,0.855874894336433
"86",356,"Sunderland","Nott'm Forest",1.51851851851852,1.24444444444444,1.38148148148148,1.57142857142857,0.928571428571429,0.923076923076923,1.53846153846154,1.59206647011525,0.688775510204082
"87",357,"Tottenham","Nott'm Forest",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.57142857142857,0.923076923076923,1.53846153846154,1.23023318145269,1.16562009419152
"88",358,"Aston Villa","Sunderland",1.51851851851852,1.24444444444444,1.38148148148148,1.42857142857143,0.785714285714286,0.461538461538462,1.53846153846154,1.44733315465023,0.291405023547881
"89",359,"Bournemouth","Sunderland",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,0.461538461538462,1.53846153846154,1.55866647423871,0.399408284023669
"90",360,"Everton","Sunderland",1.51851851851852,1.24444444444444,1.38148148148148,1.23076923076923,1.38461538461538,0.461538461538462,1.53846153846154,1.24693317939097,0.51352493660186
"91",361,"Leeds","Sunderland",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.38461538461538,0.461538461538462,1.53846153846154,1.71453312166258,0.51352493660186
"92",362,"Newcastle","Sunderland",1.51851851851852,1.24444444444444,1.38148148148148,1.84615384615385,1.53846153846154,0.461538461538462,1.53846153846154,1.87039976908645,0.570583262890955
"93",363,"Wolves","Sunderland",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,2.14285714285714,0.461538461538462,1.53846153846154,0.940766550522648,0.794740973312402
"94",364,"Aston Villa","Tottenham",1.51851851851852,1.24444444444444,1.38148148148148,1.42857142857143,0.785714285714286,1.53846153846154,1.46153846153846,1.37496649691772,0.971350078492936
"95",365,"Chelsea","Tottenham",1.51851851851852,1.24444444444444,1.38148148148148,1.64285714285714,1.14285714285714,1.53846153846154,1.46153846153846,1.58121147145537,1.41287284144427
"96",366,"Fulham","Tottenham",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.23076923076923,1.53846153846154,1.46153846153846,1.62880646557945,1.52155536770921
"97",367,"Liverpool","Tottenham",1.51851851851852,1.24444444444444,1.38148148148148,1.61538461538462,1.07692307692308,1.53846153846154,1.46153846153846,1.55476980805311,1.33136094674556
"98",368,"Sunderland","Tottenham",1.51851851851852,1.24444444444444,1.38148148148148,1.57142857142857,0.928571428571429,1.53846153846154,1.46153846153846,1.51246314660949,1.14795918367347
"99",369,"Wolves","Tottenham",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,2.14285714285714,1.53846153846154,1.46153846153846,0.893728222996516,2.64913657770801
"100",370,"Aston Villa","West Ham",1.51851851851852,1.24444444444444,1.38148148148148,1.42857142857143,0.785714285714286,1.15384615384615,1.69230769230769,1.59206647011525,0.728512558869702
"101",371,"Brentford","West Ham",1.51851851851852,1.24444444444444,1.38148148148148,1.71428571428571,1.07142857142857,1.15384615384615,1.69230769230769,1.9104797641383,0.993426216640502
"102",372,"Crystal Palace","West Ham",1.51851851851852,1.24444444444444,1.38148148148148,1,1.28571428571429,1.15384615384615,1.69230769230769,1.11444652908068,1.1921114599686
"103",373,"Fulham","West Ham",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.23076923076923,1.15384615384615,1.69230769230769,1.88598643382884,1.14116652578191
"104",374,"Liverpool","West Ham",1.51851851851852,1.24444444444444,1.38148148148148,1.61538461538462,1.07692307692308,1.15384615384615,1.69230769230769,1.80025977774571,0.998520710059171
"105",375,"Newcastle","West Ham",1.51851851851852,1.24444444444444,1.38148148148148,1.84615384615385,1.53846153846154,1.15384615384615,1.69230769230769,2.05743974599509,1.42645815722739
"106",376,"Brentford","Wolves",1.51851851851852,1.24444444444444,1.38148148148148,1.71428571428571,1.07142857142857,0.357142857142857,1.5,1.69337979094077,0.307489067055394
"107",377,"Brighton","Wolves",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,0.357142857142857,1.5,1.51969981238274,0.309065934065934
"108",378,"Burnley","Wolves",1.51851851851852,1.24444444444444,1.38148148148148,0.923076923076923,1.46153846153846,0.357142857142857,1.5,0.911819887429644,0.419446624803768
"109",379,"Leeds","Wolves",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.38461538461538,0.357142857142857,1.5,1.67166979362101,0.397370486656201
"110",380,"West Ham","Wolves",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.92857142857143,0.357142857142857,1.5,1.19947735191638,0.553480320699709
